District,Jan_2014,Apr_2014,Aug_2014,Jan_2015,Apr_2015,Aug_2015,Jan_2016,Apr_2016,Aug_2016
Beyla,0,0,1,46,0,0,0,0,0
Boffa,0,0,19,4,13,0,0,0,0
Boké,0,0,0,1,0,30,0,0,0
Conakry,0,39,64,283,148,32,11,0,0
Coyah,0,0,1,164,63,3,0,0,0
Dabola,0,2,0,7,0,0,0,0,0
Dalaba,0,0,0,9,0,0,0,0,0
Dinguiraye,0,0,0,0,0,0,0,0,0
Dubréka,0,0,24,64,33,27,1,0,0
Faranah,0,0,0,46,1,0,0,0,0
Forécariah,0,0,5,67,275,75,12,0,0
Fria,0,0,0,3,7,2,0,0,0
Gaoual,0,0,0,0,0,0,0,0,0
Guéckédou,0,68,148,55,0,0,0,0,0
Kankan,0,0,0,32,0,0,0,0,0
Kérouané,0,0,8,153,0,0,0,0,0
Kindia,0,0,1,64,14,0,0,0,0
Kissidougou,0,2,0,95,1,0,0,0,0
Koubia,0,0,0,0,0,0,0,0,0
Koundara,0,0,0,0,0,0,0,0,0
Kouroussa,0,0,2,16,0,0,0,0,0
Labé,0,0,0,0,0,0,0,0,0
Lélouma,0,0,0,0,0,0,0,0,0
Lola,0,0,0,71,21,0,0,0,0
Macenta,0,12,127,571,2,0,0,0,0
Mali,0,0,0,1,4,0,0,0,0
Mamou,0,0,0,0,0,0,0,0,0
Mandiana,0,0,0,0,0,0,0,0,0
Nzérékoré,0,0,11,202,0,0,0,0,0
Pita,0,0,6,1,0,0,0,0,0
Siguiri,0,1,6,17,3,0,0,0,0
Télimélé,0,0,23,17,0,0,0,0,0
Tougué,0,0,0,0,2,0,0,0,0
Yamou,0,0,11,1,0,0,0,0,0
